"","error_flag","person_id","day_id","tripnum","tripid","depart_time_timestamp","arrival_time_timestamp","mode_1","distance_miles","travel_time","speed_mph","origin_lat","origin_lng","dest_lat","dest_lng","origin_purpose","dest_purpose","arrive_date","trace_quality_flag","day_is_complete_a","user_added","user_merged","user_split"
"35",NA,2310151701,231015170101,8,"2310151701008",2023-04-08 15:49:00,2023-04-08 15:55:00,97,0.043496,11,6.90314479272092,47.665,-122.3166,47.6654,-122.3162,10,11,2023-04-08,0,1,0,995,995
"36",NA,2310151701,231015170101,9,"2310151701009",2023-04-08 16:58:00,2023-04-08 17:00:00,97,1.186198,3,36.9554215186724,47.6654,-122.3166,47.6621,-122.3338,11,11,2023-04-08,0,1,0,1,995
"37",NA,2310151701,231015170101,10,"2310151701010",2023-04-08 17:00:00,2023-04-08 17:36:00,97,1.03334,73,1.91299965081801,47.6621,-122.3338,47.6653,-122.3164,11,10,2023-04-08,0,1,0,1,995
"38",NA,2310151701,231015170101,11,"2310151701011",2023-04-08 20:27:00,2023-04-08 20:38:00,97,0.80654,21,8.01088521506075,47.6652,-122.3165,47.6568,-122.3176,10,11,2023-04-08,0,1,0,995,995
"39","ends day, not home",2310151701,231015170101,12,"2310151701012",2023-04-08 20:38:00,2023-04-08 20:40:00,97,0.622614,5,14.2624993243368,47.6568,-122.3176,47.6653,-122.3164,11,10,2023-04-08,0,1,0,995,995
"40","time overlap",2310743901,231074390102,9,"2310743901009",2023-05-02 09:02:00,2023-05-02 09:28:00,1,0.363502,11,0.838851414501088,47.6698,-122.3775,47.669,-122.3763,1,60,2023-05-02,0,1,0,995,995
"41","mode_1 missing",2310743901,231074390102,10,"2310743901010",2023-05-02 09:25:00,2023-05-02 09:28:00,995,0.190761,6,3.29440248452696,47.6701,-122.3786,47.669,-122.3763,60,60,2023-05-02,0,1,0,995,995
"42","time overlap",2310743901,231074390102,11,"2310743901011",2023-05-02 09:28:00,2023-05-02 09:47:00,23,3.507641,23,11.0767843721776,47.669,-122.3763,47.6248,-122.3597,60,34,2023-05-02,0,1,0,995,995
"43","same dest as prior",2310743901,231074390102,12,"2310743901012",2023-05-02 09:40:00,2023-05-02 09:47:00,995,0.04971,14,2.43458200033265,47.6246,-122.3609,47.6248,-122.3597,34,34,2023-05-02,0,1,0,995,995
"44",NA,2310743901,231074390102,13,"2310743901013",2023-05-02 10:59:00,2023-05-02 10:59:00,995,0.10439,0,246.554443001535,47.625,-122.3596,47.6247,-122.361,34,60,2023-05-02,0,1,0,1,995
"45","time overlap",2310743901,231074390102,14,"2310743901014",2023-05-02 10:59:00,2023-05-02 11:26:00,23,3.590283,46,7.97840666666667,47.6247,-122.361,47.67,-122.3775,60,1,2023-05-02,0,1,0,1,995
"46","mode_1 missing",2310743901,231074390102,15,"2310743901015",2023-05-02 11:22:00,2023-05-02 11:26:00,995,0.161557,7,2.58870649632093,47.6686,-122.3761,47.67,-122.3775,1,1,2023-05-02,0,1,0,1,995
"47",NA,2310743901,231074390102,16,"2310743901016",2023-05-02 11:36:00,2023-05-02 11:46:00,1,0.249791,19,1.76185872469229,47.6699,-122.3777,47.6709,-122.382,1,51,2023-05-02,0,1,0,1,995
"48",NA,2310743901,231074390102,17,"2310743901017",2023-05-02 11:46:00,2023-05-02 11:57:00,1,0.237985,22,1.79021557974943,47.6709,-122.382,47.6701,-122.3779,51,1,2023-05-02,0,1,0,1,995
"49",NA,2310743901,231074390102,18,"2310743901018",2023-05-02 17:59:00,2023-05-02 18:09:00,1,0.424397,19,2.39385574664978,47.6701,-122.3774,47.6706,-122.3854,1,51,2023-05-02,0,1,0,995,995
"50",NA,2310743901,231074390102,19,"2310743901019",2023-05-02 18:26:00,2023-05-02 18:37:00,1,0.409484,21,2.33139952579384,47.6706,-122.3855,47.6701,-122.3777,51,1,2023-05-02,0,1,0,995,995
"51",NA,2300046602,230004660202,13,"2300046602013",2023-04-19 14:03:00,2023-04-19 14:11:00,3,0.438067,16,2.34385129741703,47.6382,-122.3735,47.6412,-122.3772,1,51,2023-04-19,0,1,0,995,995
"52",NA,2300046602,230004660202,14,"2300046602014",2023-04-19 14:17:00,2023-04-19 14:18:00,3,0.448009,0,24.94674687042,47.6415,-122.3767,47.6393,-122.3778,51,30,2023-04-19,0,1,0,995,995
"53",NA,2300046602,230004660202,15,"2300046602015",2023-04-19 14:21:00,2023-04-19 14:34:00,3,2.566263,25,12.9448644464001,47.6393,-122.3779,47.6555,-122.4005,30,51,2023-04-19,0,1,0,995,995
"54","time overlap",2300046602,230004660202,16,"2300046602016",2023-04-19 14:37:00,2023-04-19 15:12:00,3,1.547214,29,2.65236837278193,47.6554,-122.4004,47.6626,-122.4098,51,51,2023-04-19,0,1,0,995,1
"55","driver, no-drive mode",2300046602,230004660202,17,"2300046602017",2023-04-19 14:52:00,2023-04-19 15:12:00,1,0.649333,40,2.51329304847353,47.6549,-122.4102,47.6626,-122.4098,51,51,2023-04-19,0,1,0,995,1
"56","time overlap",2300046602,230004660202,18,"2300046602018",2023-04-19 15:19:00,2023-04-19 16:11:00,3,1.937435,13,2.23550364269511,47.6625,-122.4096,47.6549,-122.4103,51,51,2023-04-19,0,1,0,995,1
"57","same dest as prior",2300046602,230004660202,19,"2300046602019",2023-04-19 15:26:00,2023-04-19 16:11:00,3,1.714984,90,1.94660856851155,47.6639,-122.4136,47.6549,-122.4103,51,51,2023-04-19,0,1,0,1,995
"58",NA,2300046602,230004660202,20,"2300046602020",2023-04-19 16:11:00,2023-04-19 16:23:00,3,3.227402,23,18.9990336035437,47.6549,-122.4103,47.6382,-122.3738,51,1,2023-04-19,0,1,0,1,995
"59","missing next trip link",2339948501,233994850101,2,"2339948501001",2023-06-06 08:15:00,2023-06-06 09:10:00,23,9.96928,110,10.8755860913353,47.6696,-122.3792,47.6148,-122.3385,60,10,2023-06-06,0,1,1,995,995
"60","missing next trip link",2339948501,233994850101,5,"2339948501002",2023-06-06 12:30:00,2023-06-06 13:30:00,23,4.899512,120,4.23866013227936,47.6148,-122.3385,47.6696,-122.3792,1,1,2023-06-06,0,1,1,995,995
"61",NA,2339948501,233994850101,7,"2339948501003",2023-06-06 17:00:00,2023-06-06 17:20:00,1,0.508282,40,1.19201938283072,47.6696,-122.3792,47.664,-122.3773,1,53,2023-06-06,0,1,1,995,995
"62",NA,2339948501,233994850101,8,"2339948501004",2023-06-06 18:15:00,2023-06-06 18:40:00,1,0.508282,50,0.95361550626458,47.664,-122.3773,47.6696,-122.3792,53,1,2023-06-06,0,1,1,995,995
"63","missing next trip link",2339948501,233994850101,1,"2339948501005",2023-06-06 08:15:00,2023-06-06 08:15:00,995,4.98464,0,NA,47.6696,-122.3792,47.6148,-122.3385,995,60,2023-06-06,0,1,1,995,995
"64","missing next trip link",2339948501,233994850101,4,"2339948501006",2023-06-06 12:30:00,2023-06-06 12:30:00,995,4.899512,0,NA,47.6148,-122.3385,47.6696,-122.3792,10,1,2023-06-06,0,1,1,995,995
"65","missing prior trip link",2339948501,233994850101,3,"2339948501007",2023-06-06 09:10:00,2023-06-06 09:10:00,995,4.98464,0,NA,47.6696,-122.3792,47.6148,-122.3385,10,10,2023-06-06,0,1,1,995,995
"66","missing prior trip link",2339948501,233994850101,6,"2339948501008",2023-06-06 13:30:00,2023-06-06 13:30:00,995,4.899512,0,NA,47.6148,-122.3385,47.6696,-122.3792,1,1,2023-06-06,0,1,1,995,995
"67","missing prior trip link",2318241501,231824150105,20,"2318241501018",2023-05-22 07:35:00,2023-05-22 07:38:00,995,0.085749,4,1.86239806910668,47.5993,-122.3279,47.5997,-122.329,1,60,2023-05-22,0,1,0,1,1
"68",NA,2318241501,231824150105,21,"2318241501019",2023-05-22 07:38:00,2023-05-22 07:41:00,23,0.44863,7,8.9726,47.5997,-122.329,47.6024,-122.331,60,10,2023-05-22,0,1,0,1,1
"69","missing prior trip link",2318241501,231824150105,24,"2318241501020",2023-05-22 16:18:00,2023-05-22 17:02:00,23,2.973883,55,4.05529684331675,47.6026,-122.3308,47.6196,-122.3121,60,34,2023-05-22,0,1,0,995,1
"70","""change mode"" purpose",2318241501,231824150105,25,"2318241501021",2023-05-22 16:45:00,2023-05-22 17:00:00,23,1.414241,28,5.94466177890469,47.6186,-122.3428,47.62,-122.3134,34,60,2023-05-22,0,1,0,995,1
"71","time overlap",2318241501,231824150105,26,"2318241501022",2023-05-22 17:00:00,2023-05-22 17:02:00,995,0.112468,3,2.62736324988104,47.62,-122.3134,47.6196,-122.3121,60,34,2023-05-22,0,1,0,995,1
"72",NA,2318241501,231824150105,27,"2318241501023",2023-05-22 17:32:00,2023-05-22 17:45:00,995,1.589468,27,6.89019768153794,47.6194,-122.3121,47.6108,-122.3384,34,60,2023-05-22,0,1,0,995,995
"73",NA,2318241501,231824150105,28,"2318241501024",2023-05-22 17:48:00,2023-05-22 18:06:00,23,1.509932,30,5.03310666666667,47.6104,-122.3384,47.5989,-122.3166,60,1,2023-05-22,0,1,0,995,995
"74","missing next trip link",2318241501,231824150105,23,"2318241501043",2023-05-22 16:18:00,2023-05-22 16:18:00,995,1.447174,0,NA,47.6026,-122.3308,47.6186,-122.3428,10,60,2023-05-22,0,1,0,995,1
"75","same dest as prior",2318241501,231824150105,22,"2318241501045",2023-05-22 07:41:00,2023-05-22 07:41:00,995,0.224315,0,NA,47.5997,-122.329,47.6024,-122.331,10,10,2023-05-22,0,1,0,1,1
"76","driver, no-drive mode",2309526802,230952680206,16,"2309526802016",2023-04-30 10:03:00,2023-04-30 10:26:00,1,0.031069,45,2.41916977682794,47.6533,-122.3632,47.6526,-122.3631,1,30,2023-04-30,0,1,0,995,995
"77",NA,2309526802,230952680206,17,"2309526802017",2023-04-30 10:40:00,2023-04-30 11:03:00,3,12.090019,46,32.2474980415672,47.6527,-122.3632,47.7912,-122.3112,30,11,2023-04-30,0,1,0,995,995
"78",NA,2309526802,230952680206,18,"2309526802018",2023-04-30 12:09:00,2023-04-30 12:38:00,3,12.029125,57,27.1843624392874,47.7913,-122.3109,47.6532,-122.3632,11,1,2023-04-30,0,1,0,995,995
"79",NA,2319795402,231979540206,247,"2319795402247",2023-06-05 17:31:00,2023-06-05 17:45:00,3,3.996038,27,17.5473101673645,47.3326,-122.2978,47.2862,-122.3108,1,30,2023-06-05,0,1,0,995,995
"80","excessive speed",2319795402,231979540206,248,"2319795402248",2023-06-05 18:21:00,2023-06-05 18:21:00,3,0.134838,0,406.160165803344,47.2865,-122.3108,47.2866,-122.3132,30,31,2023-06-05,0,1,0,995,995
"81",NA,2319795402,231979540206,249,"2319795402249",2023-06-05 18:28:00,2023-06-05 18:42:00,3,3.93328,27,16.7899916902419,47.2865,-122.3132,47.3324,-122.2978,31,1,2023-06-05,0,1,0,995,995
